First Name,Last Name,email,Job Title,Company,Dietary restrictions
Attendee 1,last name 1,email1@c.com1,job 1,company 1,
Attendee 2 ,last name 2,email2@c.com2,job 2,company 2,
Attendee 3,last name 3,email4@c.com3,job 3,company 3,
Attendee 4 ,last name 4,email4@c.com4,job 4,company 4,
Attendee 5,last name 5,email4@c.com5,job 5,company 5,
Attendee 6,last name 6,email4@c.com6,job 6,company 6,
Attendee 7,last name 7,email4@c.com7,job 7,company 7,
Attendee 8,last name 8,email4@c.com8,job 8,company 8,
Attendee 9,last name 9,email4@c.com9,job 9,company 9,
Attendee 10,last name 10,email4@c.com10,job 10,company 10,
Attendee 11,last name 11,email4@c.com11,job 11,company 11,
Attendee 12,last name 12,email4@c.com12,job 12,company 12,
Attendee 13,last name 13,email4@c.com13,job 13,company 13,
Attendee 14,last name 14,email4@c.com14,job 14,company 14,
Attendee 15,last name 15,email4@c.com15,job 15,company 15,
Attendee 16,last name 16,email4@c.com16,job 16,company 16,
Attendee 17,last name 17,email4@c.com17,job 17,company 17,
Attendee 18,last name 18,email4@c.com18,job 18,company 18,
Attendee 19,last name 19,email4@c.com19,job 19,company 19,
